start_point,end_point,time_of_day,day_of_week,traffic_condition,event_count,is_holiday,vehicle_density,population_density,weather,public_transport_availability,historical_delay_factor,travel_time
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),night,Friday,9.0,7,1,medium,,,2,1.0184713950965771,15.63081464322241
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),morning,Wednesday,,9,1,,,clear,2,0.7927353476922134,38.440263891577565
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),morning,Friday,9.0,9,0,,medium,,1,1.0233305593293998,26.80909808116083
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),evening,Monday,9.0,9,0,low,low,fog,2,0.878456629474373,63.972212434334665
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),morning,Thursday,5.0,8,1,medium,,,1,1.0438020320166261,23.36812939179156
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),evening,Wednesday,10.0,8,1,low,,clear,1,0.9822591464388007,27.53672366398779
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),night,Sunday,,9,0,,low,fog,0,1.1810725707367322,17.530103989329415
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),evening,Sunday,9.0,7,1,high,,clear,2,1.11819029277187,24.41120030624399
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),morning,Tuesday,10.0,8,0,,high,clear,1,1.011284505095444,47.39866704701966
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),day,Saturday,,7,1,,medium,clear,2,0.8573246202554126,24.430900809018656
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),evening,Tuesday,10.0,7,0,medium,high,,2,0.7875808075282158,38.23779758349772
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),day,Sunday,,8,0,,low,fog,2,1.0339769635921499,26.148226196478912
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),night,Friday,9.0,8,0,,medium,clear,2,1.177633004608661,34.14777768198305
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),morning,Wednesday,5.0,7,0,medium,medium,clear,2,1.0976480903996468,55.65594957045704
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),morning,Monday,9.0,9,0,low,,,1,0.9180350970036764,45.957137404492826
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),night,Sunday,,9,1,low,medium,clear,2,1.126836751116415,12.736405529189247
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),day,Wednesday,9.0,9,1,,,,1,0.9276249333728164,43.007197151228695
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),evening,Friday,10.0,8,1,,medium,,2,1.1429454056204156,80.16618130580855
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),morning,Saturday,9.0,47,1,low,,,1,0.7654176931084862,49.036541681195814
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Sunday,7.0,9,0,low,low,,2,0.7823135605263889,40.65786456840939
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),morning,Thursday,9.0,9,0,medium,,fog,2,1.2019735264717026,54.735939041117575
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),morning,Sunday,5.0,7,0,,,,2,0.9767923221246585,20.400816689697283
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Wednesday,9.0,7,1,low,,,2,1.1067985283430986,36.31324858617185
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),morning,Friday,5.0,8,1,,high,rain,2,0.8034598214350337,14.16789335915306
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Saturday,10.0,7,0,medium,low,clear,0,0.7926346988778956,15.106637162476204
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),night,Wednesday,5.0,9,1,,low,,2,0.8968807030159491,18.929752147496664
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),night,Monday,9.0,7,1,medium,medium,clear,2,0.8271297983396204,29.704663891259816
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),night,Sunday,9.0,8,1,low,,,2,0.9595343772557585,10.442379026589846
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),morning,Sunday,5.0,8,0,high,medium,clear,2,1.004009199047129,22.58522856157031
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),day,Wednesday,9.0,8,0,medium,medium,rain,2,0.8746400245448229,58.08534791414825
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),evening,Sunday,,7,0,,high,,2,0.8357633443154613,47.8312073250648
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),morning,Saturday,,8,1,medium,low,,0,1.1944370194008471,20.773614624105388
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),night,Saturday,,7,0,,low,storm,1,1.1933872843483888,41.644584563227795
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),morning,Wednesday,5.0,9,0,medium,high,,2,1.0120692955971657,39.90882254150301
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Tuesday,9.0,9,1,low,,rain,2,0.9301770547381261,36.644448882555416
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),night,Saturday,5.0,8,0,,,,0,1.0567704665507367,12.723864612400796
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),day,Tuesday,9.0,9,1,low,medium,,2,0.7915600192103498,11.646351834805225
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),morning,Friday,,9,0,,medium,rain,2,0.9430573109726523,27.16226531741416
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),morning,Tuesday,10.0,8,1,low,high,clear,2,0.7845057332443721,61.5922884064001
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),morning,Monday,9.0,8,1,medium,low,rain,1,1.0976531040580637,49.93257391393284
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),evening,Sunday,10.0,9,0,medium,low,,2,0.843948306738824,36.73911337485677
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),morning,Monday,5.0,9,1,low,low,,2,0.8792557017679664,38.227096969930436
